original_key,edited_key,normalized,pages
Gary Burton,Gary Burton,"Burton, Gary","25, 26, 28, 29, 57, 59, 60, 64, 129, 131, 133, 294, 306"
Gary Husband,Gary Husband,"Husband, Gary","84, 101, 131, 137, 144, 158, 159, 165, 168, 191, 230, 300, 301, 316, 333, 366, 367, 383, 390, 426"
Gavyn Wright,Gavyn Wright,"Wright, Gavyn","63, 76, 89, 91, 101, 119, 133, 135, 138, 142, 151, 158, 160, 161, 172, 201, 205, 231, 270, 303, 305, 314, 319, 350, 351, 364, 366, 371, 374"
Genghis Khan,Genghis Khan,"Khan, Genghis","169, 178, 393, 418"
George Benson,George Benson,"Benson, George","8, 20, 179, 422"
George Gluck,George Gluck,"Gluck, George","56, 74, 124, 168"
George Martin,George Martin,"Martin, George","60, 102, 103, 136, 173, 233, 234, 405"
George Michael,George Michael,"Michael, George","102, 135, 164, 232, 312, 379"
Gerard Presencer,Gerard Presencer,"Presencer, Gerard","120, 133, 152, 272, 305, 351"
Gil Evans,Gil Evans,"Evans, Gil","25, 57, 69, 78, 80, 85, 133, 156, 177, 181, 192, 306"
Ginger Baker,Ginger Baker,"Baker, Ginger","18, 19, 43"
Glade Jul,Glade Jul,Glade Jul,"279, 426"
Gloria Jones,Gloria Jones,"Jones, Gloria","78, 423"
Gloria Swanson,Gloria Swanson,"Swanson, Gloria","11, 25, 93, 211"
Go West,Go West,Go West,"264, 369, 370, 425"
Gold Star,Gold Star,"Star, Gold","141, 142"
Gold Star Studios,Gold Star Studios,Gold Star Studios,"23, 52, 63, 64, 141, 144"
Good Vibrations,Good Vibrations,Good Vibrations,"27, 314, 427"
Grace Jones,Grace Jones,"Jones, Grace","166, 167, 169, 303, 423"
Graeme Perkins,Graeme Perkins,"Perkins, Graeme","1, 182, 204, 244, 262, 265, 267, 284, 313, 322, 350"
Graham Bond Organization,Graham Bond Organization,Graham Bond Organization,"17, 18, 41, 42"
Graham Dee,Graham Dee,"Dee, Graham","38, 40, 82, 89, 423"
Greg Kane,Greg Kane,"Kane, Greg","132, 162, 302, 375"
Greg Rom,Greg Rom,"Rom, Greg","39, 40, 86, 87, 169, 393"
Guy Barker,Guy Barker,"Barker, Guy","68, 71, 72, 80, 81, 88, 93, 94, 103, 153, 161, 162, 164, 180, 183, 198, 210, 214, 234"
Hal Leonard,Hal Leonard,"Leonard, Hal","31, 70, 129, 294, 428"
Hamish Stuart,Hamish Stuart,"Stuart, Hamish","130, 139, 297, 322, 426"
Harold Battiste,Harold Battiste,"Battiste, Harold","292, 296"
Harry Warren,Harry Warren,"Warren, Harry","129, 130"
Heart Control,Heart Control,"Control, Heart","149, 423"
Heather Small,Heather Small,"Small, Heather","369, 427"
Henry Mancini,Henry Mancini,"Mancini, Henry","115, 165, 261, 382"
Herbie Hancock,Herbie Hancock,"Hancock, Herbie","134, 141, 308, 325"
Here We Come,Here We Come,Here We Come,"337, 426"
Holly Johnson,Holly Johnson,"Johnson, Holly","90, 99, 202, 226"
Hot Gossip,Hot Gossip,Hot Gossip,"102, 108, 109, 113, 423"
I Am Alive,I Am Alive,I Am Alive,"374, 425"
I Got No Strings,I Got No Strings,I Got No Strings,"309, 317"
Ian Palmer,Ian Palmer,"Palmer, Ian","170, 172, 174, 175, 177, 395, 400, 408, 409, 415, 428"
Ian Thomas,Ian Thomas,"Thomas, Ian","133, 135, 136, 137, 138, 139, 305, 309, 314, 318, 319, 321"
It's About Time,It's About Time,It's About Time,"162, 163, 164"
Jack Bruce,Jack Bruce,"Bruce, Jack","18, 19, 42, 43, 84, 191"
Jaco Pastorious,Jaco Pastorious,"Pastorious, Jaco","29, 59, 65, 133"
Jaki Benar,Jaki Benar,"Benar, Jaki","146, 147"
James Brown,James Brown,"Brown, James","80, 133, 152, 153, 160, 181, 306"
Jamie Talbot,Jamie Talbot,"Talbot, Jamie","103, 152, 174, 235, 351, 352, 407"
Janek Gwizdala,Janek Gwizdala,"Gwizdala, Janek","157, 159, 362, 367, 368"
Jay Azzolina,Jay Azzolina,"Azzolina, Jay","71, 412"
Jazz Guitar,Jazz Guitar,"Guitar, Jazz","402, 428"
Jeff Calvert,Jeff Calvert,"Calvert, Jeff","50, 66, 81, 82, 111, 150, 185, 187"
Jeremy Lubbock,Jeremy Lubbock,"Lubbock, Jeremy","76, 121, 128, 161, 172, 275, 292, 373"
Jerry Colonna,Jerry Colonna,"Colonna, Jerry","4, 5, 10, 12"
Jerry Wexler,Jerry Wexler,"Wexler, Jerry","82, 128, 142, 185, 292, 296, 330"
Jess Bailey,Jess Bailey,"Bailey, Jess","68, 69, 72, 81, 82, 88, 101, 103, 114, 153, 157, 163, 185, 186, 199, 230, 231, 235, 260, 355"
Jesse Lasky Jr,Jesse Lasky Jr,Jesse Lasky Jr,"6, 14, 30, 66, 68, 105, 153, 173, 239, 406, 429"
Jethro Tull,Jethro Tull,Jethro Tull,"153, 214, 370"
Jim Hall,Jim Hall,"Hall, Jim","17, 25, 40, 57, 129, 295"
Jim Mullen,Jim Mullen,"Mullen, Jim","71, 134, 135, 137, 157, 162, 172, 308, 309, 316, 364, 402, 412, 423, 427"
Jimi Hendrix,Jimi Hendrix,"Hendrix, Jimi","11, 13, 25, 30, 80, 181"
Jimmie Haskell,Jimmie Haskell,"Haskell, Jimmie","56, 123, 128, 292, 297"
Joe Cocker,Joe Cocker,"Cocker, Joe","351, 427"
Joe Hubbard,Joe Hubbard,"Hubbard, Joe","68, 69, 71, 72, 73, 153, 154, 156, 162, 166"
Joe Venuti,Joe Venuti,"Venuti, Joe","5, 12, 23, 29, 39, 40, 52, 63, 64, 85, 87, 141, 143, 144, 155, 360, 427, 428"
John Altman,John Altman,"Altman, John","47, 103, 128, 140, 159, 170, 293, 297, 324, 369, 396, 412"
John Boorman,John Boorman,"Boorman, John","29, 30, 66"
John Coltrane,John Coltrane,"Coltrane, John","67, 123, 150, 281"
John Lennon,John Lennon,"Lennon, John","52, 115, 158, 179, 365, 422"
John Mayall,John Mayall,"Mayall, John","17, 18, 19, 40, 43"
John Thirkell,John Thirkell,"Thirkell, John","86, 88, 90, 101, 103, 163, 170, 171, 172, 174, 193, 198, 204, 231, 235, 377, 395, 400, 401, 407"
John Williams,John Williams,"Williams, John","49, 50, 110, 111, 161, 176, 373, 414"
Johnny Carson,Johnny Carson,"Carson, Johnny","79, 94, 179, 212"
Johnny Mercer,Johnny Mercer,"Mercer, Johnny","141, 142"
Jon Anderson,Jon Anderson,"Anderson, Jon","23, 24, 52, 55"
Jones The Rhythm,Jones The Rhythm,Jones The Rhythm,"171, 172"
Joni Mitchell,Joni Mitchell,"Mitchell, Joni","106, 170, 241, 397"
Jonn Savannah,Jonn Savannah,"Savannah, Jonn","140, 141, 324, 327"
Joy Yates,Joy Yates,"Yates, Joy","40, 58, 88, 130"
Judy Mazel,Judy Mazel,"Mazel, Judy","155, 423"
Julie Andrews,Julie Andrews,"Andrews, Julie","66, 67, 135, 150, 151, 152, 314"
Kate Dimbleby,Kate Dimbleby,"Dimbleby, Kate","314, 427"
Kate St. John,Kate St. John,"St. John, Kate","234, 261, 268, 278, 297, 299, 345, 407"
Kate Winslet,Kate Winslet,"Winslet, Kate","146, 162, 337, 374, 427"
Kate Winter,Kate Winter,"Winter, Kate","120, 168, 273, 390"
Katherine Gang,Katherine Gang,Katherine Gang,"129, 156, 294, 360, 427"
Keith Moon,Keith Moon,"Moon, Keith","18, 41, 125, 284, 285"
Kenny Loggins,Kenny Loggins,"Loggins, Kenny","124, 160, 164, 283, 369, 379"
Kent Nebergall,Kent Nebergall,"Nebergall, Kent","59, 61, 133, 138"
Kid Creole,Kid Creole,"Creole, Kid","129, 132, 134, 295, 302, 307, 308"
Kim Chandler,Kim Chandler,"Chandler, Kim","135, 137, 139, 159, 168, 171, 175, 309, 318, 323, 368, 390, 399, 411"
Kiri Te Kanawa,Kiri Te Kanawa,Kiri Te Kanawa,"278, 425"
Kylie Minogue,Kylie Minogue,"Minogue, Kylie","315, 425"
Lamont Dozier Jr,Lamont Dozier Jr,Lamont Dozier Jr,"170, 171, 397, 399"
Lance Ellington,Lance Ellington,"Ellington, Lance","120, 121, 151, 272, 275, 351"
Last Vegas,Last Vegas,Last Vegas,"391, 392, 427"
Laurel Canyon,Laurel Canyon,Laurel Canyon,"2, 5, 6, 12"
Laurence Cottle,Laurence Cottle,"Cottle, Laurence","133, 135, 137, 168, 170, 174, 303, 305, 309, 318, 389, 395, 407"
